29	26
50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
20	57.9989	73.275	80.6225	84.7291	87.2903	89.0118	90.2294	91.1216	91.7917	92.3028	92.6952	92.994	93.2144	93.3633	93.4406	93.4382	93.338	93.1066	92.6845	91.9629	90.7283	88.5187	84.2072	74.662	50
15	38.7251	54.4878	64.4995	71.0215	75.4418	78.5529	80.8129	82.4969	83.7761	84.7603	85.5211	86.1044	86.5382	86.8358	86.9974	87.0092	86.8401	86.4339	85.6953	84.4619	82.4506	79.1539	73.6579	64.4457	50
10	27.4229	41.4696	51.8931	59.4507	64.9459	68.9953	72.0293	74.3395	76.1228	77.5123	78.5981	79.4397	80.0739	80.519	80.7767	80.8307	80.6443	80.1533	79.254	77.7846	75.496	72.0171	66.8443	59.4728	50
5	19.5104	32.1013	42.1925	49.9945	55.9593	60.5277	64.0537	66.8017	68.9628	70.6731	72.0283	73.0936	73.9105	74.5005	74.8671	74.9954	74.8496	74.3692	73.4616	71.9944	69.7873	66.6169	62.2581	56.6159	50
0	13.5349	25.268	34.8333	42.4436	48.4529	53.2	56.9664	59.972	62.384	64.3268	65.8914	67.1419	68.1204	68.8502	69.3369	69.5687	69.5157	69.1277	68.3319	67.0326	65.1148	62.461	58.993	54.7517	50
-5	9.38286	20.6453	29.4925	36.5773	42.3104	46.9721	50.7743	53.884	56.4336	58.5269	60.243	61.6401	62.7581	63.62	64.2335	64.5913	64.671	64.435	63.8316	62.7978	61.2673	59.1873	56.5475	53.4212	50
-10	8.37643	18.4878	25.9883	32.16	37.3582	41.7427	45.4316	48.5284	51.1252	53.3001	55.1169	56.6252	57.8603	58.8443	59.5865	60.0838	60.3215	60.2743	59.9085	59.1861	58.0733	56.5529	54.6422	52.4127	50
20	15.6635	18.9974	23.8964	28.8257	33.3536	37.3656	40.8576	43.8676	46.4479	48.6522	50.5287	52.1175	53.4488	54.5431	55.4106	56.0521	56.4596	56.6179	56.5072	56.1073	55.4041	54.3983	53.1163	51.6182	50
15	15.3113	18.0039	21.8658	26.0132	30.0121	33.6805	36.9598	39.85	42.3767	44.5749	46.4802	48.1243	49.5328	50.7242	51.7093	52.492	53.0695	53.4345	53.577	53.4884	53.166	52.6187	51.8731	50.9774	50
10	12.6114	15.9076	19.6485	23.4785	27.1595	30.5693	33.66	36.4256	38.8813	41.0517	42.9638	44.6433	46.1119	47.3863	48.4779	49.3924	50.1314	50.6928	51.0735	51.2719	51.2912	51.1433	50.8519	50.4544	50
